10103D,1725,1425,1275,1575,1875,1365,1395,1335,1305,1455,1485,1515,1545,1605,1635,1665,1695,1755,1785,1815,1845,1845
10104D,1160,860,710,1010,1310,800,830,770,740,890,920,950,980,1040,1070,1100,1130,1190,1220,1250,1280,1280
10105D,1262,962,812,1112,1412,902,932,872,842,992,1022,1052,1082,1142,1172,1202,1232,1292,1322,1352,1382,1382
10106D,2138,1838,1688,1988,2288,1778,1808,1748,1718,1868,1898,1928,1958,2018,2048,2078,2108,2168,2198,2228,2258,2258
10107D,2182,1882,1732,2032,2332,1822,1852,1792,1762,1912,1942,1972,2002,2062,2092,2122,2152,2212,2242,2272,2302,2302
10108D,2208,1908,1758,2058,2358,1848,1878,1818,1788,1938,1968,1998,2028,2088,2118,2148,2178,2238,2268,2298,2328,2328
10109D,1582,1282,1132,1432,1732,1222,1252,1192,1162,1312,1342,1372,1402,1462,1492,1522,1552,1612,1642,1672,1702,1702
10110D,1391,1091,941,1241,1541,1031,1061,1001,971,1121,1151,1181,1211,1271,1301,1331,1361,1421,1451,1481,1511,1511
20000U,1495,1195,1045,1345,1645,1135,1165,1105,1075,1225,1255,1285,1315,1375,1405,1435,1465,1525,1555,1585,1615,1615
20001U,1421,1121,971,1271,1571,1061,1091,1031,1001,1151,1181,1211,1241,1301,1331,1361,1391,1451,1481,1511,1541,1541
20002U,1476,1176,1026,1326,1626,1116,1146,1086,1056,1206,1236,1266,1296,1356,1386,1416,1446,1506,1536,1566,1596,1596
20003U,2113,1813,1663,1963,2263,1753,1783,1723,1693,1843,1873,1903,1933,1993,2023,2053,2083,2143,2173,2203,2233,2233
20004U,1098,798,648,948,1248,738,768,708,678,828,858,888,918,978,1008,1038,1068,1128,1158,1188,1218,1218
20005U,1206,906,756,1056,1356,846,876,816,786,936,966,996,1026,1086,1116,1146,1176,1236,1266,1296,1326,1326
20006U,2024,1724,1574,1874,2174,1664,1694,1634,1604,1754,1784,1814,1844,1904,1934,1964,1994,2054,2084,2114,2144,2144
20007U,1174,874,724,1024,1324,814,844,784,754,904,934,964,994,1054,1084,1114,1144,1204,1234,1264,1294,1294
20008U,1651,1351,1201,1501,1801,1291,1321,1261,1231,1381,1411,1441,1471,1531,1561,1591,1621,1681,1711,1741,1771,1771
20009U,1257,957,807,1107,1407,897,927,867,837,987,1017,1047,1077,1137,1167,1197,1227,1287,1317,1347,1377,1377
20010U,1266,966,816,1116,1416,906,936,876,846,996,1026,1056,1086,1146,1176,1206,1236,1296,1326,1356,1386,1386
20000D,1503,1203,1053,1353,1653,1143,1173,1113,1083,1233,1263,1293,1323,1383,1413,1443,1473,1533,1563,1593,1623,1623
20001D,2269,1969,1819,2119,2419,1909,1939,1879,1849,1999,2029,2059,2089,2149,2179,2209,2239,2299,2329,2359,2389,2389
20002D,2318,2018,1868,2168,2468,1958,1988,1928,1898,2048,2078,2108,2138,2198,2228,2258,2288,2348,2378,2408,2438,2438
20003D,1345,1045,895,1195,1495,985,1015,955,925,1075,1105,1135,1165,1225,1255,1285,1315,1375,1405,1435,1465,1465
20004D,1156,856,706,1006,1306,796,826,766,736,886,916,946,976,1036,1066,1096,1126,1186,1216,1246,1276,1276
20005D,2369,2069,1919,2219,2519,2009,2039,1979,1949,2099,2129,2159,2189,2249,2279,2309,2339,2399,2429,2459,2489,2489
20006D,1366,1066,916,1216,1516,1006,1036,976,946,1096,1126,1156,1186,1246,1276,1306,1336,1396,1426,1456,1486,1486
20007D,2031,1731,1581,1881,2181,1671,1701,1641,1611,1761,1791,1821,1851,1911,1941,1971,2001,2061,2091,2121,2151,2151
20008D,2375,2075,1925,2225,2525,2015,2045,1985,1955,2105,2135,2165,2195,2255,2285,2315,2345,2405,2435,2465,2495,2495
20009D,1251,951,801,1101,1401,891,921,861,831,981,1011,1041,1071,1131,1161,1191,1221,1281,1311,1341,1371,1371
20010D,2245,1945,1795,2095,2395,1885,1915,1855,1825,1975,2005,2035,2065,2125,2155,2185,2215,2275,2305,2335,2365,2365
99900U,1500,1200,1050,1350,1650,1140,1170,1110,1080,1230,1260,1290,1320,1380,1410,1440,1470,1530,1560,1590,1620,1620
99900D,1500,1200,1050,1350,1650,1140,1170,1110,1080,1230,1260,1290,1320,1380,1410,1440,1470,1530,1560,1590,1620,1620
